ID,식품명,상품명,식품대분류,식품상세분류,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
277,솜사탕,솜사탕,아이스크림류,아이스크림류,119.1,0,1.3,0,23.2,0,50.5
278,송편,송편(깨),곡류 및 서류,떡류,224.146,44.957,4.925,2.735,1.146,4.819,231.821
279,쇠고기구이,"소고기, 미국산, 갈비, 구운것(오븐)",농축산물,육류,400,0,22.57,33.7,0,0,65
280,수박,수박,샤베트,샤베트,135,29,1.2,1.8,22,0,15
281,수육,돼지고기 수육,찜류,육류찜,936,7,59.6,74.5,7.2,4.9,121.28
282,수정과,수정과,음료 및 차류,기타 음료 및 차류,133.004,20.337,0.597,5.474,20.685,1.849,9.715
283,수제비,수제비,면 및 만두류,기타 면 및 만두류,378,72,15,3.4,0,7,925.17
284,수프,양송이버섯생수프,즉석조리식품,즉석조리식품,170,11,4,12,3,0,500
285,숙주나물,숙주나물,숙채류,"나물,숙채류",17,1.5,1.1,0.8,0.8,0.8,201.52
286,순대,순대,찜류,육류찜,410,78.6,6,8,3.1,4.2,1327.97
287,순대국밥,순대국밥,밥류,기타 밥류,673,93.5,28.6,20.6,1.5,11.3,1137.58
288,순두부찌개,순두부찌개,찌개 및 전골류,"채소류찌개,전골",85,2.6,9.1,4.3,1.2,2.1,426.64
289,쉐이크,순수우유 쉐이크,음료 및 차류,스무디류,561,0,9,0,33,0,110
290,슈크림,슈크림,빵류,기타빵류,185,0,0,0,3,0,110
291,스크램블드에그,스크램블드에그,"전,적 및 부침류","기타 전,적 및 부침류",237,2.8,13,19.3,0.5,5.1,406.39
292,스테이크,블랙앵거스 스테이크(오리지널 M),빵류,피자류,307,0,14,0,7,0,471
293,스튜,"스튜, 레토르트",농축산물,조리가공품류,118,7.4,6,7.2,0,0,290
294,스파게티,토마토소스스파게티,면 및 만두류,스파게티류,220,42.95,8.06,1.29,0.78,2.5,325
295,슬라이스치즈,슬라이스치즈,가공치즈,가공치즈,50,1,4,3.2,0,0,150
296,시금치,"시금치, 생것",농축산물,채소류,33,6,3.1,0.5,0,0,54
297,시금치나물,시금치나물,숙채류,"나물,숙채류",34,1.7,1.9,2.2,0,1,68.12
298,시래기국,무청시래기국 ,국 및 탕류,"채소류국,탕",45,5,4,1.3,2,0,531
299,시럽,과당시럽,기타,기타,32.4,0,0,0,7.6,0,0
300,시리얼,"시리얼, 옥수수, 아몬드",농축산물,곡류 및 그 제품,426,78.18,7.3,9.29,34.79,4.4,379
301,시리얼바,시리얼바,시리얼류,시리얼류,130,21.5,3.4,5.8,6.6,0,60
302,시저샐러드,시저샐러드,즉석섭취식품,즉석섭취식품,261,21,11,15,4,0,385
303,식혜,식혜,음료 및 차류,기타 음료 및 차류,130.137,24.319,2.302,2.628,17.04,0.384,3.377
304,아마씨,"아마씨, 볶은것",농축산물,견과류 및 종실류,564,30.5,21.9,43.5,0,24,70
305,아보카도,아보카도,과/채주스,과/채주스,140,30,1,1.7,22,0,20
306,아보카도샐러드,에그아보카도샐러드 밀 박스,즉석섭취식품,즉석섭취식품,217,19,15,9,15,0,520
307,아스파라거스볶음밥,볶음밥,밥류,볶음밥류,333,41.7,12.47,12.34,1.5,1.4,822
308,아오리사과,"사과, 아오리, 껍질 포함, 생것",농축산물,과실류,49,13.36,0.3,0.03,8.17,1.8,0
309,아이스라떼,아이스라떼,음료 및 차류,커피류,131,0,3,0,4,0,82
310,아이스커피,아이스 커피,음료 및 차류,커피류,4,0.67,0.19,0.01,0,0,4
311,아이스크림,아이스크림,아이스크림류,아이스크림류,98,0,2,0,19,0,26
312,아이스티,아이스티,음료 및 차류,차류,160,0,0,0,39,0,0
313,아포가토,아포가토,음료 및 차류,커피류,282.4,0,7.1,0,33.3,0,83.8
314,안심스테이크,안심스테이크,구이류,육류구이,366,0.2,69.6,9.7,0,3.8,205.42
315,알로에주스,남양 at home 알로에,혼합음료,혼합음료,272,68,0,0,80,0,20
316,알밥,알밥,밥류,기타 밥류,422,52,15.6,16.9,7.6,11.5,1418.08
317,애호박,"호박, 애호박, 생것",농축산물,채소류,22,5.14,1.07,0.09,2.43,2.2,0
318,애호박볶음,애호박볶음,볶음류,채소류볶음,29,2.7,0.7,1.8,0.2,1.2,223.39
319,액상요구르트,"요구르트, 액상",농축산물,우유 및 유제품류,65,15.23,1.29,0.02,12.49,0.6,17
320,앵두,앵두,과자,과자,374.8,87.2,5.6,0.4,9.7,0,125.6
321,야끼소바,야끼소바,건면,건면,350,0,0,0,4,0,1110
322,야채볶음,야채볶음,농축산물,채소류볶음,122,8.78,7.38,6.9,4.93,1.7,867
323,약과,약과,과자류,한과류,119.731,25.467,1.259,1.425,5.066,1.602,17.19
324,약식,약식,곡류 및 서류,곡류 및 서류,219,45.2,4.2,2.5,13.2,2.6,221.18
325,양꼬치,양꼬치,농축산물,육류구이,141,1.39,19.43,5.95,0.11,0.8,210
326,양념게장,양념게장,젓갈류,젓갈류,193,25.2,20.4,1.2,17.5,9.4,1608.01
327,양념치킨,양념치킨,튀김류,치킨류,552,42.3,35.5,26.8,12.5,2.1,805.49
328,양배추,양배추,과/채음료,과/채음료,20,5,0,0,4,0,10
329,양배추샐러드,양배추샐러드,생채및 무침류,샐러드,225,12.7,4,17.6,11.9,3.9,144.95
330,양배추쌈,"방울다다기양배추, 생것",농축산물,채소류,49,11.17,3.28,0.16,3.55,5.5,25
331,양배추절임,"배추, 봄 재배, 염절임",농축산물,채소류,15,2.89,1.63,0.09,1.44,2.5,496
332,양상추샐러드,양상추샐러드,생채및 무침류,샐러드,188,5.1,7.4,15.4,2.4,3.7,236.63
333,양주,위스키,음료 및 차류,알코올류,105,0.04,0,0,0,0,0
334,양파,양파볶음,볶음류,채소류볶음,44,7.6,0.8,1.2,7.3,1.3,219.4
335,양파샐러드,샐러드 닭가슴살,햄,햄,160,0.7,29,4.4,0.7,0,480
336,양파튀김,"양파링, 튀김옷, 냉동",농축산물,채소류,258,30.53,3.15,14.1,0,1.8,246
337,어묵국,어묵국,국 및 탕류,"어패류국,탕",106,13.4,5.2,3.6,0.3,1.6,790.85
338,어묵볶음,어묵볶음,볶음류,어패류볶음,275,34.1,11.8,10.2,8.8,3.5,1144.7
339,어묵탕,어묵탕,국 및 탕류,"어패류국,탕",125,13.06,13.11,2.45,1.26,2.3,1225
340,어육소시지,어육소시지,농축산물,어패류 및 기타 수산물,175,17.79,9.01,7.45,0,0,584
341,에그타르트,에그타르트,빵류,기타 빵류,215,0,3,0,8,0,105
342,연근조림,연근조림,조림류,채소류조림,87,14.7,1.3,2.6,1.4,1.3,330.58
343,연어구이,"연어, 훈제",농축산물,어패류 및 기타 수산물,171,0.49,23.97,7.56,0.11,0,467
344,연어샐러드,로스트 비프 샐러드 밀 박스,생채및 무침류,샐러드,192,11.82,12.21,10.84,4.79,0.7,303
345,연어초밥,연어초밥,밥류,김밥(초밥)류,447.318,71.037,18.883,9.738,12.882,4.027,1064.385
346,연어회,"연어, 생것",농축산물,어패류 및 기타 수산물,106,0.2,20.6,1.9,0,0,95
347,열무국수,냉김치말이국수,면 및 만두류,국수류,302.53,52,12.9,4.8,8.3,4.6,2121.62
348,열무김치,열무김치,김치류,김치,10,0.9,0.7,0.5,0.2,0.9,194.47
349,오디,"오디, 생것",농축산물,과실류,56,14,0.8,0.4,0,0,1
350,오렌지,오렌지,혼합음료,혼합음료,40,10,0,0,10,0,25
351,오렌지주스,오렌지주스,음료 및 차류,"과일,채소음료류",124,0,2,0,25,0,0
352,오리구이,오리구이,농축산물,육류구이,336,0,18.91,28.23,0,0,221
353,오므라이스,오므라이스,밥류,볶음밥류,692,82.1,26,28.9,12.8,9.6,1730.11
354,오믈렛,딸기 생크림 오믈렛,빵류,크림빵류,73,0,1,0,3,0,10
355,오미자,"오미자, 생것",농축산물,과실류,81,12.8,2.1,3.3,0,0,1
356,오이,"오이, 개량종, 생것",농축산물,채소류,14,3.05,1.22,0.02,1.38,0.7,3
357,오이샐러드,샐러드 닭가슴살,햄,햄,160,0.7,29,4.4,0.7,0,480
358,오이소박이,오이소박이,김치류,김치,32,4.4,1.7,0.9,3.4,1.9,541.03
359,오이피클,바른생피클 L,장아찌 및 절임류,"장아찌,절임류",50,0,0,0,9,0,5
360,오징어채볶음,오징어채볶음,볶음류,어패류볶음,59,4.1,4.1,3,4.9,1.5,263.9
361,오징어튀김,오징어튀김,튀김류,어패류튀김,505,33.7,18.6,33,0.5,3.4,504.99
362,오코노미야끼,오꼬노미야끼,볶음류,육류볶음,525,61.31,20.66,21.45,3.44,3.2,831
363,오트밀,"귀리, 오트밀",농축산물,곡류 및 그 제품,382,64.9,13.2,8.2,0,18.8,4
364,와사비,와사비,소스,기타,7,1.69,0.18,0.1,1.2,0.5,47
365,와인,1879 와인 폴리페놀,혼합음료,혼합음료,750,168,9,1.2,135,0,135
366,와플,클래식 플레인 와플,빵류,기타 빵류,1091.6,0,17.9,0,70.9,0,753.3
367,우동,우동,면 및 만두류,국수류,679,97.7,14.3,25.8,0.1,6,1252.92
368,우엉조림,우엉조림,조림류,채소류조림,56,10.4,1.4,1,8.5,1.7,352.17
369,우유,우유,음료 및 차류,"우유,유제품류",205,0,10,0,0,0,170
370,유과,유과,과자류,한과류,127.091,22.269,0.842,3.85,7.244,0.341,6.843
371,유부초밥,유부초밥,밥류,김밥(초밥)류,388,59.6,11.6,11.5,4,5.2,771.26
372,유자,"유자, 과육, 생것",농축산물,과실류,40,10.28,0.87,0.06,2.24,5.9,2
373,육개장,육개장,국 및 탕류,"육류국,탕",130,6.5,16.2,4.4,3.3,5.2,884.24
374,육포,육포,농축산물,육류,361,20.2,49,8.2,0,0,2180
375,육회,육회,회류,회류,195,12.2,14.9,9.6,7.9,9.9,627.01
376,인삼,"인삼, 수삼, 생것",농축산물,기타,98,21.7,4.5,0.3,0,0,18
377,자두,"자두, 생것",농축산물,과실류,26,5.3,0.5,0.6,0,0,1
378,자몽,자몽,빙과,빙과,165,39,0.8,0.5,31,0,85
379,자몽주스,자몽주스,음료 및 차류,"과일,채소음료류",120,0,2,0,17,0,0
380,잔치국수,잔치국수,면 및 만두류,국수류,310,56.3,13.5,3.4,0.3,5.5,1514.59
381,잡곡밥,잡곡밥,밥류,"쌀밥,잡곡밥류",292,58.6,10.6,1.7,0.6,12.2,5.29
382,잡곡식빵,The 잡곡식빵,빵류,빵류,230,36,8,6,8,0,240
