ID,식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),비타민A(R.E),리보플라빈(mg),칼슘(mg),철분(mg)
1641,"나물비빔밥, 간, 깨찰빵, 생지, 간, 배추김치, 간",624.6,103.5,21.2,12.1,612.1,0.4,147.4,3.0
1642,"치킨데리야끼볶음밥, 간, 김치국, 간, 떡강정, 간, 깍두기, 간",949.9,156.1,35.8,22.2,227.7,0.4,273.8,3.0
1643,"현미찹쌀밥, 제육볶음, 채소달걀말이, 채소계란말이, 중, 깍두기, 요구르트, 유, 간",1110.3,123.1,79.7,35.8,525.1,1.7,256.3,6.0
1644,"큐브스테이크볶음밥, 팽이버섯된장국, 팽이버섯된장국, 간, 배추김치, 골드키위",921.8,72.4,34.2,54.9,225.0,0.6,199.1,5.0
1645,"찜닭덮밥, 찜닭덮밥, 간, 호빵, 오이지무침, 오이지무침, 간",873.8,147.1,43.7,15.1,204.9,0.5,149.2,2.0
1646,"미트볼토마토스파게티, 간, 수제마늘빵, 간, 채소피클, 간",1098.0,130.9,36.8,50.5,443.0,0.6,463.4,3.0
1647,"김밥볶음밥, 간, 어묵국, 간, 배추김치, 간, 배주스, 간",657.4,99.5,32.6,15.7,231.0,0.4,303.3,4.0
1648,"자장밥, 단무지, 깐풍기",1091.8,169.8,55.9,25.2,343.1,1.0,193.4,5.0
1649,"미트볼토마토스파게티, 수제마늘빵, 채소피클, 대",1174.5,140.4,42.8,50.8,465.9,0.7,492.1,4.0
1650,"시금치베이컨볶음밥, 골뱅이채소무침, 깍두기",690.3,82.7,35.5,24.0,392.0,0.5,147.3,4.0
1651,"카레라이스, 돼지, 닭장각소금구이, 배추김치",1112.9,143.2,67.6,37.2,566.1,0.6,193.1,6.0
1652,"낙지볶음밥, 미역국, 달걀찜, 깍두기",762.7,99.4,43.5,22.2,319.2,0.9,287.4,6.0
1653,"곤드레나물밥, 코다리강정, 열무김치, 요구르트",1162.4,150.0,39.9,45.3,644.3,1.7,510.7,7.0
1654,"참치김치볶음밥, 핫도그, 콩나물국",767.6,94.4,28.2,30.6,159.8,0.4,230.1,6.0
1655,"소불고기비빔밥, 김치국, 바나나",855.8,130.4,43.5,21.9,343.4,0.8,228.0,6.0
1656,"큐브스테이크볶음밥, 팽이버섯된장국, 배추김치, 골드키위",917.3,72.1,34.0,54.6,224.5,0.6,198.5,5.0
1657,"찜닭덮밥, 호빵, 오이지무침",905.2,152.9,45.8,15.2,208.2,0.6,151.2,2.0
1658,"나물비빔밥, 깨찰빵, 생지, 배추김치",623.9,93.1,21.4,13.2,445.6,0.5,179.0,6.0
1659,"치킨데리야끼볶음밥, 김치국, 떡강정, 떡꼬치, 깍두기",1048.9,142.9,33.6,39.1,153.9,0.3,280.5,5.0
1660,"소고기콩나물밥, 삼겹살김치찜, 식혜",867.8,108.6,41.3,32.0,160.7,0.8,202.5,4.0
1661,"김밥볶음밥, 어묵국, 배추김치, 배주스",659.0,100.9,29.5,16.6,242.8,0.5,251.3,3.0
1662,딸기주스,104.5,25.7,0.0,0.4,0.0,0.0,32.3,0.0
1663,"로제파스타, 수제마늘빵, 채소피클, 대",1076.9,132.4,27.7,49.9,452.3,0.5,259.7,4.0
1664,"옛날도시락, 소시지, 김치, 멸치, 미역국, 매실요구르트",824.6,107.4,39.9,26.8,73.7,0.4,534.5,3.0
1665,"닭갈비덮밥, 군만두, 배추김치, 복숭아요구르트",1225.3,169.9,61.2,35.7,454.4,1.3,485.9,1.0
1666,"새우카레, 핫윙, 배추김치, 배주스",1183.1,169.5,42.1,43.0,637.5,0.3,212.8,6.0
1667,"스팸김치볶음밥, 모짜렐라, 핫도그, 식혜",1215.8,150.2,38.1,50.4,159.0,0.7,279.2,4.0
1668,"나시고랭, 바베큐폭립, 깍두기, 한라봉감귤주스",926.8,138.2,57.2,14.3,149.7,0.7,188.2,8.0
1669,"옛날도시락, 소시지, 김치, 멸치, 미역국, 포도주스",984.5,116.2,30.8,44.0,42.9,0.5,265.6,2.0
1670,"닭갈비덮밥, 깍두기, 석류크랜베리주스",1010.4,122.0,41.4,17.6,348.2,0.7,225.8,6.0
